continent,location,date,population,new_vaccinations,accumunated_vac_amounts,TotalVacPerPop
Africa,Algeria,2020-04-30,43851043,,,
Africa,Algeria,2020-05-01,43851043,,,
Africa,Algeria,2020-05-02,43851043,,,
Africa,Algeria,2020-05-03,43851043,,,
Africa,Algeria,2020-05-04,43851043,,,
Africa,Algeria,2020-05-05,43851043,,,
Africa,Algeria,2020-05-06,43851043,,,
Africa,Algeria,2020-05-07,43851043,,,
Africa,Algeria,2020-05-08,43851043,,,
Africa,Algeria,2020-05-09,43851043,,,
Africa,Algeria,2020-05-10,43851043,,,
Africa,Algeria,2020-05-11,43851043,,,
Africa,Algeria,2020-05-12,43851043,,,
Africa,Algeria,2020-05-13,43851043,,,
Africa,Algeria,2020-05-14,43851043,,,
Africa,Algeria,2020-05-15,43851043,,,
Africa,Algeria,2020-05-16,43851043,,,
Africa,Algeria,2020-05-17,43851043,,,
Africa,Algeria,2020-05-18,43851043,,,
Africa,Algeria,2020-05-19,43851043,,,
Africa,Algeria,2020-05-20,43851043,,,
Africa,Algeria,2020-05-21,43851043,,,
Africa,Algeria,2020-05-22,43851043,,,
Africa,Algeria,2020-05-23,43851043,,,
Africa,Algeria,2020-05-24,43851043,,,
Africa,Algeria,2020-05-25,43851043,,,
Africa,Algeria,2020-05-26,43851043,,,
Africa,Algeria,2020-05-27,43851043,,,
Africa,Algeria,2020-05-28,43851043,,,
Africa,Algeria,2020-05-29,43851043,,,
Africa,Algeria,2020-05-30,43851043,,,
Africa,Algeria,2020-05-31,43851043,,,
Africa,Algeria,2020-06-01,43851043,,,
Africa,Algeria,2020-06-02,43851043,,,
Africa,Algeria,2020-06-03,43851043,,,
Africa,Algeria,2020-06-04,43851043,,,
Africa,Algeria,2020-06-05,43851043,,,
Africa,Algeria,2020-06-06,43851043,,,
Africa,Algeria,2020-06-07,43851043,,,
Africa,Algeria,2020-06-08,43851043,,,
Africa,Algeria,2020-06-09,43851043,,,
Africa,Algeria,2020-06-10,43851043,,,
Africa,Algeria,2020-06-11,43851043,,,
Africa,Algeria,2020-06-12,43851043,,,
Africa,Algeria,2020-06-13,43851043,,,
Africa,Algeria,2020-06-14,43851043,,,
Africa,Algeria,2020-06-15,43851043,,,
Africa,Algeria,2020-06-16,43851043,,,
Africa,Algeria,2020-06-17,43851043,,,
Africa,Algeria,2020-06-18,43851043,,,
Africa,Algeria,2020-06-19,43851043,,,
Africa,Algeria,2020-06-20,43851043,,,
Africa,Algeria,2020-06-21,43851043,,,
Africa,Algeria,2020-06-22,43851043,,,
Africa,Algeria,2020-06-23,43851043,,,
Africa,Algeria,2020-06-24,43851043,,,
Africa,Algeria,2020-06-25,43851043,,,
Africa,Algeria,2020-06-26,43851043,,,
Africa,Algeria,2020-06-27,43851043,,,
Africa,Algeria,2020-06-28,43851043,,,
Africa,Algeria,2020-06-29,43851043,,,
Africa,Algeria,2020-06-30,43851043,,,
Africa,Algeria,2020-07-01,43851043,,,
Africa,Algeria,2020-07-02,43851043,,,
Africa,Algeria,2020-07-03,43851043,,,
Africa,Algeria,2020-07-04,43851043,,,
Africa,Algeria,2020-07-05,43851043,,,
Africa,Algeria,2020-07-06,43851043,,,
Africa,Algeria,2020-07-07,43851043,,,
Africa,Algeria,2020-07-08,43851043,,,
Africa,Algeria,2020-07-09,43851043,,,
Africa,Algeria,2020-07-10,43851043,,,
Africa,Algeria,2020-07-11,43851043,,,
Africa,Algeria,2020-07-12,43851043,,,
Africa,Algeria,2020-07-13,43851043,,,
Africa,Algeria,2020-07-14,43851043,,,
Africa,Algeria,2020-07-15,43851043,,,
Africa,Algeria,2020-07-16,43851043,,,
Africa,Algeria,2020-07-17,43851043,,,
Africa,Algeria,2020-07-18,43851043,,,
Africa,Algeria,2020-07-19,43851043,,,
Africa,Algeria,2020-07-20,43851043,,,
Africa,Algeria,2020-07-21,43851043,,,
Africa,Algeria,2020-07-22,43851043,,,
Africa,Algeria,2020-07-23,43851043,,,
Africa,Algeria,2020-07-24,43851043,,,
Africa,Algeria,2020-07-25,43851043,,,
Africa,Algeria,2020-07-26,43851043,,,
Africa,Algeria,2020-07-27,43851043,,,
Africa,Algeria,2020-07-28,43851043,,,
Africa,Algeria,2020-07-29,43851043,,,
Africa,Algeria,2020-07-30,43851043,,,
Africa,Algeria,2020-07-31,43851043,,,
Africa,Algeria,2020-08-01,43851043,,,
Africa,Algeria,2020-08-02,43851043,,,
Africa,Algeria,2020-08-03,43851043,,,
Africa,Algeria,2020-08-04,43851043,,,
Africa,Algeria,2020-08-05,43851043,,,
Africa,Algeria,2020-08-06,43851043,,,
Africa,Algeria,2020-08-07,43851043,,,
Africa,Algeria,2020-08-08,43851043,,,
Africa,Algeria,2020-08-09,43851043,,,
Africa,Algeria,2020-08-10,43851043,,,
Africa,Algeria,2020-08-11,43851043,,,
Africa,Algeria,2020-08-12,43851043,,,
Africa,Algeria,2020-08-13,43851043,,,
Africa,Algeria,2020-08-14,43851043,,,
Africa,Algeria,2020-08-15,43851043,,,
Africa,Algeria,2020-08-16,43851043,,,
Africa,Algeria,2020-08-17,43851043,,,
Africa,Algeria,2020-08-18,43851043,,,
Africa,Algeria,2020-08-19,43851043,,,
Africa,Algeria,2020-08-20,43851043,,,
Africa,Algeria,2020-08-21,43851043,,,
Africa,Algeria,2020-08-22,43851043,,,
Africa,Algeria,2020-08-23,43851043,,,
Africa,Algeria,2020-08-24,43851043,,,
Africa,Algeria,2020-08-25,43851043,,,
Africa,Algeria,2020-08-26,43851043,,,
Africa,Algeria,2020-08-27,43851043,,,
Africa,Algeria,2020-08-28,43851043,,,
Africa,Algeria,2020-08-29,43851043,,,
Africa,Algeria,2020-08-30,43851043,,,
Africa,Algeria,2020-08-31,43851043,,,
Africa,Algeria,2020-09-01,43851043,,,
Africa,Algeria,2020-09-02,43851043,,,
Africa,Algeria,2020-09-03,43851043,,,
Africa,Algeria,2020-09-04,43851043,,,
Africa,Algeria,2020-09-05,43851043,,,
Africa,Algeria,2020-09-06,43851043,,,
Africa,Algeria,2020-09-07,43851043,,,
Africa,Algeria,2020-09-08,43851043,,,
Africa,Algeria,2020-09-09,43851043,,,
Africa,Algeria,2020-09-10,43851043,,,
Africa,Algeria,2020-09-11,43851043,,,
Africa,Algeria,2020-09-12,43851043,,,
Africa,Algeria,2020-09-13,43851043,,,
Africa,Algeria,2020-09-14,43851043,,,
Africa,Algeria,2020-09-15,43851043,,,
Africa,Algeria,2020-09-16,43851043,,,
Africa,Algeria,2020-09-17,43851043,,,
Africa,Algeria,2020-09-18,43851043,,,
Africa,Algeria,2020-09-19,43851043,,,
Africa,Algeria,2020-09-20,43851043,,,
Africa,Algeria,2020-09-21,43851043,,,
Africa,Algeria,2020-09-22,43851043,,,
Africa,Algeria,2020-09-23,43851043,,,
Africa,Algeria,2020-09-24,43851043,,,
Africa,Algeria,2020-09-25,43851043,,,
Africa,Algeria,2020-09-26,43851043,,,
Africa,Algeria,2020-09-27,43851043,,,
Africa,Algeria,2020-09-28,43851043,,,
Africa,Algeria,2020-09-29,43851043,,,
Africa,Algeria,2020-09-30,43851043,,,
Africa,Algeria,2020-10-01,43851043,,,
Africa,Algeria,2020-10-02,43851043,,,
Africa,Algeria,2020-10-03,43851043,,,
Africa,Algeria,2020-10-04,43851043,,,
Africa,Algeria,2020-10-05,43851043,,,
Africa,Algeria,2020-10-06,43851043,,,
Africa,Algeria,2020-10-07,43851043,,,
Africa,Algeria,2020-10-08,43851043,,,
Africa,Algeria,2020-10-09,43851043,,,
Africa,Algeria,2020-10-10,43851043,,,
Africa,Algeria,2020-10-11,43851043,,,
Africa,Algeria,2020-10-12,43851043,,,
Africa,Algeria,2020-10-13,43851043,,,
Africa,Algeria,2020-10-14,43851043,,,
Africa,Algeria,2020-10-15,43851043,,,
Africa,Algeria,2020-10-16,43851043,,,
Africa,Algeria,2020-10-17,43851043,,,
Africa,Algeria,2020-10-18,43851043,,,
Africa,Algeria,2020-10-19,43851043,,,
Africa,Algeria,2020-10-20,43851043,,,
Africa,Algeria,2020-10-21,43851043,,,
Africa,Algeria,2020-10-22,43851043,,,
Africa,Algeria,2020-10-23,43851043,,,
Africa,Algeria,2020-10-24,43851043,,,
Africa,Algeria,2020-10-25,43851043,,,
Africa,Algeria,2020-10-26,43851043,,,
Africa,Algeria,2020-10-27,43851043,,,
Africa,Algeria,2020-10-28,43851043,,,
Africa,Algeria,2020-10-29,43851043,,,
Africa,Algeria,2020-10-30,43851043,,,
Africa,Algeria,2020-10-31,43851043,,,
Africa,Algeria,2020-11-01,43851043,,,
Africa,Algeria,2020-11-02,43851043,,,
Africa,Algeria,2020-11-03,43851043,,,
Africa,Algeria,2020-11-04,43851043,,,
Africa,Algeria,2020-11-05,43851043,,,
Africa,Algeria,2020-11-06,43851043,,,
Africa,Algeria,2020-11-07,43851043,,,
Africa,Algeria,2020-11-08,43851043,,,
Africa,Algeria,2020-11-09,43851043,,,
Africa,Algeria,2020-11-10,43851043,,,
Africa,Algeria,2020-11-11,43851043,,,
Africa,Algeria,2020-11-12,43851043,,,
Africa,Algeria,2020-11-13,43851043,,,
Africa,Algeria,2020-11-14,43851043,,,
Africa,Algeria,2020-11-15,43851043,,,
Africa,Algeria,2020-11-16,43851043,,,
Africa,Algeria,2020-11-17,43851043,,,
Africa,Algeria,2020-11-18,43851043,,,
Africa,Algeria,2020-11-19,43851043,,,
Africa,Algeria,2020-11-20,43851043,,,
Africa,Algeria,2020-11-21,43851043,,,
Africa,Algeria,2020-11-22,43851043,,,
Africa,Algeria,2020-11-23,43851043,,,
Africa,Algeria,2020-11-24,43851043,,,
Africa,Algeria,2020-11-25,43851043,,,
Africa,Algeria,2020-11-26,43851043,,,
Africa,Algeria,2020-11-27,43851043,,,
Africa,Algeria,2020-11-28,43851043,,,
Africa,Algeria,2020-11-29,43851043,,,
Africa,Algeria,2020-11-30,43851043,,,
Africa,Algeria,2020-12-01,43851043,,,
Africa,Algeria,2020-12-02,43851043,,,
Africa,Algeria,2020-12-03,43851043,,,
Africa,Algeria,2020-12-04,43851043,,,
Africa,Algeria,2020-12-05,43851043,,,
Africa,Algeria,2020-12-06,43851043,,,
Africa,Algeria,2020-12-07,43851043,,,
Africa,Algeria,2020-12-08,43851043,,,
Africa,Algeria,2020-12-09,43851043,,,
Africa,Algeria,2020-12-10,43851043,,,
Africa,Algeria,2020-12-11,43851043,,,
Africa,Algeria,2020-12-12,43851043,,,
Africa,Algeria,2020-12-13,43851043,,,
Africa,Algeria,2020-12-14,43851043,,,
Africa,Algeria,2020-12-15,43851043,,,
Africa,Algeria,2020-12-16,43851043,,,
Africa,Algeria,2020-12-17,43851043,,,
Africa,Algeria,2020-12-18,43851043,,,
Africa,Algeria,2020-12-19,43851043,,,
Africa,Algeria,2020-12-20,43851043,,,
Africa,Algeria,2020-12-21,43851043,,,
Africa,Algeria,2020-12-22,43851043,,,
Africa,Algeria,2020-12-23,43851043,,,
Africa,Algeria,2020-12-24,43851043,,,
Africa,Algeria,2020-12-25,43851043,,,
Africa,Algeria,2020-12-26,43851043,,,
Africa,Algeria,2020-12-27,43851043,,,
Africa,Algeria,2020-12-28,43851043,,,
Africa,Algeria,2020-12-29,43851043,,,
Africa,Algeria,2020-12-30,43851043,,,
Africa,Algeria,2020-12-31,43851043,,,
Africa,Algeria,2021-01-01,43851043,,,
Africa,Algeria,2021-01-02,43851043,,,
Africa,Algeria,2021-01-03,43851043,,,
Africa,Algeria,2021-01-04,43851043,,,
Africa,Algeria,2021-01-05,43851043,,,
Africa,Algeria,2021-01-06,43851043,,,
Africa,Algeria,2021-01-07,43851043,,,
Africa,Algeria,2021-01-08,43851043,,,
Africa,Algeria,2021-01-09,43851043,,,
Africa,Algeria,2021-01-10,43851043,,,
Africa,Algeria,2021-01-11,43851043,,,
Africa,Algeria,2021-01-12,43851043,,,
Africa,Algeria,2021-01-13,43851043,,,
Africa,Algeria,2021-01-14,43851043,,,
Africa,Algeria,2021-01-15,43851043,,,
Africa,Algeria,2021-01-16,43851043,,,
Africa,Algeria,2021-01-17,43851043,,,
Africa,Algeria,2021-01-18,43851043,,,
Africa,Algeria,2021-01-19,43851043,,,
Africa,Algeria,2021-01-20,43851043,,,
Africa,Algeria,2021-01-21,43851043,,,
Africa,Algeria,2021-01-22,43851043,,,
Africa,Algeria,2021-01-23,43851043,,,
Africa,Algeria,2021-01-24,43851043,,,
Africa,Algeria,2021-01-25,43851043,,,
Africa,Algeria,2021-01-26,43851043,,,
Africa,Algeria,2021-01-27,43851043,,,
Africa,Algeria,2021-01-28,43851043,,,
Africa,Algeria,2021-01-29,43851043,,,
Africa,Algeria,2021-01-30,43851043,30,30,6.8413424054702642e-07
Africa,Algeria,2021-01-31,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-02-01,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-02-02,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-02-03,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-02-04,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-02-05,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-02-06,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-02-07,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-02-08,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-02-09,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-02-10,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-02-11,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-02-12,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-02-13,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-02-14,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-02-15,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-02-16,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-02-17,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-02-18,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-02-19,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-02-20,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-02-21,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-02-22,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-02-23,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-02-24,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-02-25,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-02-26,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-02-27,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-02-28,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-03-01,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-03-02,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-03-03,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-03-04,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-03-05,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-03-06,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-03-07,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-03-08,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-03-09,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-03-10,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-03-11,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-03-12,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-03-13,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-03-14,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-03-15,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-03-16,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-03-17,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-03-18,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-03-19,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-03-20,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-03-21,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-03-22,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-03-23,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-03-24,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-03-25,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-03-26,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-03-27,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-03-28,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-03-29,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-03-30,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-03-31,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-04-01,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-04-02,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-04-03,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-04-04,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-04-05,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-04-06,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-04-07,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-04-08,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-04-09,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-04-10,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-04-11,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-04-12,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-04-13,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-04-14,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-04-15,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-04-16,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-04-17,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-04-18,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-04-19,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-04-20,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-04-21,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-04-22,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-04-23,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-04-24,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-04-25,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-04-26,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-04-27,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-04-28,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-04-29,43851043,,30,6.8413424054702642e-07
Africa,Algeria,2021-04-30,43851043,,30,6.8413424054702642e-07
Africa,Angola,2020-03-20,32866268,,,
Africa,Angola,2020-03-21,32866268,,,
Africa,Angola,2020-03-22,32866268,,,
Africa,Angola,2020-03-23,32866268,,,
Africa,Angola,2020-03-24,32866268,,,
Africa,Angola,2020-03-25,32866268,,,
Africa,Angola,2020-03-26,32866268,,,
Africa,Angola,2020-03-27,32866268,,,
Africa,Angola,2020-03-28,32866268,,,
Africa,Angola,2020-03-29,32866268,,,
Africa,Angola,2020-03-30,32866268,,,
Africa,Angola,2020-03-31,32866268,,,
Africa,Angola,2020-04-01,32866268,,,
Africa,Angola,2020-04-02,32866268,,,
Africa,Angola,2020-04-03,32866268,,,
Africa,Angola,2020-04-04,32866268,,,
Africa,Angola,2020-04-05,32866268,,,
Africa,Angola,2020-04-06,32866268,,,
Africa,Angola,2020-04-07,32866268,,,
Africa,Angola,2020-04-08,32866268,,,
Africa,Angola,2020-04-09,32866268,,,
Africa,Angola,2020-04-10,32866268,,,
Africa,Angola,2020-04-11,32866268,,,
Africa,Angola,2020-04-12,32866268,,,
Africa,Angola,2020-04-13,32866268,,,
Africa,Angola,2020-04-14,32866268,,,
Africa,Angola,2020-04-15,32866268,,,
Africa,Angola,2020-04-16,32866268,,,
Africa,Angola,2020-04-17,32866268,,,
Africa,Angola,2020-04-18,32866268,,,
Africa,Angola,2020-04-19,32866268,,,
Africa,Angola,2020-04-20,32866268,,,
Africa,Angola,2020-04-21,32866268,,,
Africa,Angola,2020-04-22,32866268,,,
Africa,Angola,2020-04-23,32866268,,,
Africa,Angola,2020-04-24,32866268,,,
Africa,Angola,2020-04-25,32866268,,,
Africa,Angola,2020-04-26,32866268,,,
Africa,Angola,2020-04-27,32866268,,,
Africa,Angola,2020-04-28,32866268,,,
Africa,Angola,2020-04-29,32866268,,,
Africa,Angola,2020-04-30,32866268,,,
Africa,Angola,2020-05-01,32866268,,,
Africa,Angola,2020-05-02,32866268,,,
Africa,Angola,2020-05-03,32866268,,,
Africa,Angola,2020-05-04,32866268,,,
Africa,Angola,2020-05-05,32866268,,,
Africa,Angola,2020-05-06,32866268,,,
Africa,Angola,2020-05-07,32866268,,,
Africa,Angola,2020-05-08,32866268,,,
Africa,Angola,2020-05-09,32866268,,,
Africa,Angola,2020-05-10,32866268,,,
Africa,Angola,2020-05-11,32866268,,,
Africa,Angola,2020-05-12,32866268,,,
Africa,Angola,2020-05-13,32866268,,,
Africa,Angola,2020-05-14,32866268,,,
Africa,Angola,2020-05-15,32866268,,,
Africa,Angola,2020-05-16,32866268,,,
Africa,Angola,2020-05-17,32866268,,,
Africa,Angola,2020-05-18,32866268,,,
Africa,Angola,2020-05-19,32866268,,,
Africa,Angola,2020-05-20,32866268,,,
Africa,Angola,2020-05-21,32866268,,,
Africa,Angola,2020-05-22,32866268,,,
Africa,Angola,2020-05-23,32866268,,,
Africa,Angola,2020-05-24,32866268,,,
Africa,Angola,2020-05-25,32866268,,,
Africa,Angola,2020-05-26,32866268,,,
Africa,Angola,2020-05-27,32866268,,,
Africa,Angola,2020-05-28,32866268,,,
Africa,Angola,2020-05-29,32866268,,,
Africa,Angola,2020-05-30,32866268,,,
Africa,Angola,2020-05-31,32866268,,,
Africa,Angola,2020-06-01,32866268,,,
Africa,Angola,2020-06-02,32866268,,,
Africa,Angola,2020-06-03,32866268,,,
Africa,Angola,2020-06-04,32866268,,,
Africa,Angola,2020-06-05,32866268,,,
Africa,Angola,2020-06-06,32866268,,,
Africa,Angola,2020-06-07,32866268,,,
Africa,Angola,2020-06-08,32866268,,,
Africa,Angola,2020-06-09,32866268,,,
Africa,Angola,2020-06-10,32866268,,,
Africa,Angola,2020-06-11,32866268,,,
Africa,Angola,2020-06-12,32866268,,,
Africa,Angola,2020-06-13,32866268,,,
Africa,Angola,2020-06-14,32866268,,,
Africa,Angola,2020-06-15,32866268,,,
Africa,Angola,2020-06-16,32866268,,,
Africa,Angola,2020-06-17,32866268,,,
Africa,Angola,2020-06-18,32866268,,,
Africa,Angola,2020-06-19,32866268,,,
Africa,Angola,2020-06-20,32866268,,,
Africa,Angola,2020-06-21,32866268,,,
Africa,Angola,2020-06-22,32866268,,,
Africa,Angola,2020-06-23,32866268,,,
Africa,Angola,2020-06-24,32866268,,,
Africa,Angola,2020-06-25,32866268,,,
Africa,Angola,2020-06-26,32866268,,,
Africa,Angola,2020-06-27,32866268,,,
Africa,Angola,2020-06-28,32866268,,,
Africa,Angola,2020-06-29,32866268,,,
Africa,Angola,2020-06-30,32866268,,,
Africa,Angola,2020-07-01,32866268,,,
Africa,Angola,2020-07-02,32866268,,,
Africa,Angola,2020-07-03,32866268,,,
Africa,Angola,2020-07-04,32866268,,,
Africa,Angola,2020-07-05,32866268,,,
Africa,Angola,2020-07-06,32866268,,,
Africa,Angola,2020-07-07,32866268,,,
Africa,Angola,2020-07-08,32866268,,,
Africa,Angola,2020-07-09,32866268,,,
Africa,Angola,2020-07-10,32866268,,,
Africa,Angola,2020-07-11,32866268,,,
Africa,Angola,2020-07-12,32866268,,,
Africa,Angola,2020-07-13,32866268,,,
Africa,Angola,2020-07-14,32866268,,,
Africa,Angola,2020-07-15,32866268,,,
Africa,Angola,2020-07-16,32866268,,,
Africa,Angola,2020-07-17,32866268,,,
Africa,Angola,2020-07-18,32866268,,,
Africa,Angola,2020-07-19,32866268,,,
Africa,Angola,2020-07-20,32866268,,,
Africa,Angola,2020-07-21,32866268,,,
Africa,Angola,2020-07-22,32866268,,,
Africa,Angola,2020-07-23,32866268,,,
Africa,Angola,2020-07-24,32866268,,,
Africa,Angola,2020-07-25,32866268,,,
Africa,Angola,2020-07-26,32866268,,,
Africa,Angola,2020-07-27,32866268,,,
Africa,Angola,2020-07-28,32866268,,,
Africa,Angola,2020-07-29,32866268,,,
